               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.055167,0.041647,0.035833,0.44005,0.47004,0.26503,0.15399,0.024289,0.0048671,0.024328,0.070053,0.0033274,0.0033274
1,0.036411,0.033317,0.030685,0.40237,0.48101,0.39878,0.19185,0.026424,0.0049895,0.018302,0.04005,0.0066575,0.0066575
2,0.033173,0.032077,0.028121,0.45789,0.47675,0.4886,0.27698,0.025515,0.0052813,0.015626,0.010043,0.0099842,0.0099842
3,0.030772,0.03225,0.026763,0.55366,0.44096,0.4603,0.21393,0.027954,0.0064922,0.014099,0.0099851,0.0099851,0.0099851
4,0.028615,0.030739,0.025421,0.67921,0.5765,0.65717,0.36602,0.024563,0.0051992,0.011327,0.0099851,0.0099851,0.0099851
5,0.026884,0.029758,0.024074,0.6031,0.58871,0.59953,0.30793,0.023942,0.0054054,0.010862,0.0099802,0.0099802,0.0099802
6,0.026153,0.029131,0.022726,0.6301,0.5644,0.60087,0.35606,0.02365,0.0054249,0.011028,0.0099753,0.0099753,0.0099753
7,0.025323,0.028324,0.022028,0.72608,0.5512,0.62583,0.35421,0.022733,0.0054354,0.012657,0.0099703,0.0099703,0.0099703
8,0.024683,0.028124,0.021539,0.6805,0.65957,0.7009,0.36209,0.023587,0.0051315,0.0089645,0.0099654,0.0099654,0.0099654
9,0.024264,0.027438,0.021002,0.69443,0.63177,0.68136,0.3654,0.02336,0.0053301,0.0088103,0.0099604,0.0099604,0.0099604
10,0.02391,0.027079,0.020316,0.61713,0.65622,0.65247,0.36907,0.023119,0.0054244,0.0084907,0.0099555,0.0099555,0.0099555
11,0.023711,0.026775,0.019788,0.74565,0.667,0.748,0.47191,0.021122,0.0048495,0.0070148,0.0099505,0.0099505,0.0099505
12,0.023368,0.026309,0.019574,0.72804,0.70743,0.76867,0.47982,0.021274,0.0046605,0.006996,0.0099456,0.0099456,0.0099456
13,0.023151,0.026168,0.019181,0.78277,0.7503,0.79557,0.47892,0.021851,0.0045499,0.0065806,0.0099406,0.0099406,0.0099406
14,0.023035,0.026016,0.018881,0.75695,0.76045,0.7794,0.46336,0.021575,0.0046557,0.0060942,0.0099357,0.0099357,0.0099357
15,0.022783,0.025964,0.018726,0.76532,0.71354,0.7916,0.48902,0.021209,0.0045652,0.0070426,0.0099307,0.0099307,0.0099307
16,0.022407,0.025663,0.017816,0.79049,0.67174,0.75163,0.44505,0.021669,0.0048685,0.0065659,0.0099258,0.0099258,0.0099258
17,0.022292,0.025296,0.017492,0.7376,0.71934,0.78023,0.47979,0.021113,0.0048837,0.0056519,0.0099208,0.0099208,0.0099208
18,0.022202,0.025223,0.017287,0.73815,0.7236,0.76503,0.4718,0.020691,0.0044308,0.0066545,0.0099159,0.0099159,0.0099159
19,0.021934,0.025236,0.016858,0.75681,0.68882,0.76719,0.46396,0.020894,0.0046404,0.006574,0.0099109,0.0099109,0.0099109
20,0.02155,0.024714,0.016437,0.82208,0.73709,0.84108,0.52831,0.019751,0.004545,0.005095,0.009906,0.009906,0.009906
21,0.021636,0.02448,0.016359,0.78922,0.72933,0.79807,0.5114,0.019455,0.0045693,0.0061824,0.009901,0.009901,0.009901
22,0.021595,0.024639,0.016511,0.81691,0.75487,0.82756,0.53164,0.019654,0.0044151,0.0052674,0.0098961,0.0098961,0.0098961
23,0.02137,0.024417,0.016393,0.77587,0.72608,0.81916,0.52505,0.020317,0.0045408,0.0053909,0.0098911,0.0098911,0.0098911
24,0.021389,0.024438,0.015886,0.80793,0.76688,0.83028,0.54021,0.01884,0.0044388,0.0049213,0.0098861,0.0098861,0.0098861
25,0.021227,0.024443,0.01568,0.81334,0.74197,0.83089,0.52641,0.019523,0.0045281,0.0058047,0.0098812,0.0098812,0.0098812
26,0.021249,0.024245,0.015494,0.82837,0.77849,0.84295,0.54942,0.019406,0.0043205,0.00496,0.0098763,0.0098763,0.0098763
27,0.020947,0.024237,0.015385,0.82646,0.77552,0.84895,0.548,0.019174,0.0043187,0.0045415,0.0098713,0.0098713,0.0098713
